video_record_time,test_point_code,x,y
2024-04-17 17:00:28.366366,hn_03-21,1724.656,1620.933
2024-04-17 17:00:35.889889,hn_03-21,1727.135,1623.826
2024-04-17 17:00:43.519519,hn_03-21,1726.871,1624.531
2024-04-17 17:00:51.295295,hn_03-21,1726.608,1624.759
2024-04-17 17:00:59.138138,hn_03-21,1726.566,1623.457
2024-04-17 17:01:06.775775,hn_03-21,1727.095,1622.978
2024-04-17 17:01:14.442442,hn_03-21,1727.348,1624.5
2024-04-17 17:01:22.028028,hn_03-21,1727.527,1626.635
2024-04-17 17:01:29.642642,hn_03-21,1726.592,1624.315
2024-04-17 17:01:37.318318,hn_03-21,1727.186,1625.433
2024-04-17 17:01:44.998998,hn_03-21,1727.482,1625.245
2024-04-17 17:01:52.663663,hn_03-21,1727.846,1624.522
2024-04-17 17:02:00.267267,hn_03-21,1726.634,1625.828
2024-04-17 17:02:07.918918,hn_03-21,1726.979,1625.031
2024-04-17 17:02:15.605605,hn_03-21,1726.486,1626.241
2024-04-17 17:02:23.215215,hn_03-21,1729.201,1626.246
2024-04-17 17:02:30.864864,hn_03-21,1728.386,1626.445
2024-04-17 17:02:38.437437,hn_03-21,1726.689,1625.77
2024-04-17 17:02:46.092092,hn_03-21,1727.883,1624.511
2024-04-17 17:02:53.738738,hn_03-21,1727.125,1625.138
2024-04-17 17:03:01.368368,hn_03-21,1728.219,1626.223
2024-04-17 17:03:08.956956,hn_03-21,1726.284,1624.589
2024-04-17 17:03:16.519519,hn_03-21,1726.855,1626.349
2024-04-17 17:03:24.139139,hn_03-21,1727.908,1624.433
2024-04-17 17:03:32.841841,hn_03-21,1728.715,1626.825
2024-04-17 17:03:40.489489,hn_03-21,1726.716,1624.804
2024-04-17 17:03:48.107107,hn_03-21,1727.69,1627.549
2024-04-17 17:03:55.692692,hn_03-21,1729.224,1625.341
2024-04-17 17:04:03.316316,hn_03-21,1726.27,1625.053
2024-04-17 17:04:10.899899,hn_03-21,1726.742,1625.835
2024-04-17 17:04:18.763763,hn_03-21,1729.657,1627.506
2024-04-17 17:04:26.444444,hn_03-21,1727.836,1625.386
2024-04-17 17:04:34.008008,hn_03-21,1728.339,1623.826
2024-04-17 17:04:41.652652,hn_03-21,1727.889,1626.588
2024-04-17 17:04:49.387387,hn_03-21,1728.938,1625.679
2024-04-17 17:04:57.139139,hn_03-21,1727.793,1625.945
2024-04-17 17:05:04.709709,hn_03-21,1728.373,1627.076
2024-04-17 17:05:12.614614,hn_03-21,1728.974,1627.125
2024-04-17 17:05:20.252252,hn_03-21,1729.023,1625.642
2024-04-17 17:05:27.999900,hn_03-21,1729.571,1627.912
2024-04-17 17:05:35.586586,hn_03-21,1728.147,1625.791
2024-04-17 17:05:43.327327,hn_03-21,1729.969,1627.7
2024-04-17 17:05:50.952952,hn_03-21,1726.38,1625.074
2024-04-17 17:05:58.671671,hn_03-21,1727.537,1627.515
2024-04-17 17:06:06.408408,hn_03-21,1727.837,1625.967
2024-04-17 17:06:14.196196,hn_03-21,1727.925,1628.174
2024-04-17 17:06:22.007007,hn_03-21,1729.287,1626.464
2024-04-17 17:06:29.636636,hn_03-21,1728.934,1624.667
2024-04-17 17:06:37.378378,hn_03-21,1726.971,1627.23
2024-04-17 17:06:45.335335,hn_03-21,1726.923,1625.296
2024-04-17 17:06:53.111100,hn_03-21,1728.161,1624.438
2024-04-17 17:07:00.826826,hn_03-21,1728.649,1625.417
2024-04-17 17:07:08.421421,hn_03-21,1729.324,1627.219
2024-04-17 17:07:16.234234,hn_03-21,1727.228,1625.561
2024-04-17 17:07:23.909909,hn_03-21,1727.246,1623.681
2024-04-17 17:07:31.635635,hn_03-21,1728.081,1627.285
2024-04-17 17:07:39.336336,hn_03-21,1728.154,1625.748
2024-04-17 17:07:47.010100,hn_03-21,1728.82,1626.667
2024-04-17 17:07:55.389389,hn_03-21,1727.397,1624.219
2024-04-17 17:08:03.453453,hn_03-21,1728.586,1627.223
