video_record_time,test_point_code,x,y
2024-01-25 15:04:32.374374,hn_01-03,480.896,1005.909
2024-01-25 15:04:39.651651,hn_01-03,480.812,1006.21
2024-01-25 15:04:46.649649,hn_01-03,480.658,1006.349
2024-01-25 15:04:53.491491,hn_01-03,480.768,1006.323
2024-01-25 15:05:00.286286,hn_01-03,480.847,1006.339
2024-01-25 15:05:07.258258,hn_01-03,480.839,1006.337
2024-01-25 15:05:14.252252,hn_01-03,480.803,1006.342
2024-01-25 15:05:21.306306,hn_01-03,480.737,1006.395
2024-01-25 15:05:28.435435,hn_01-03,480.722,1006.64
2024-01-25 15:05:35.242400,hn_01-03,480.65,1005.903
2024-01-25 15:05:42.306306,hn_01-03,480.824,1007.596
2024-01-25 15:05:49.407407,hn_01-03,480.712,1006.619
2024-01-25 15:05:56.581581,hn_01-03,480.605,1006.32
2024-01-25 15:06:03.795795,hn_01-03,480.827,1006.302
2024-01-25 15:06:10.604604,hn_01-03,480.709,1006.322
2024-01-25 15:06:17.683683,hn_01-03,480.724,1006.361
2024-01-25 15:06:24.748748,hn_01-03,480.633,1006.516
2024-01-25 15:06:31.763763,hn_01-03,480.692,1006.286
2024-01-25 15:06:38.787787,hn_01-03,480.702,1006.374
2024-01-25 15:06:45.586586,hn_01-03,480.64,1006.339
2024-01-25 15:06:52.635635,hn_01-03,480.801,1006.311
2024-01-25 15:06:59.458458,hn_01-03,480.537,1006.291
2024-01-25 15:07:06.405405,hn_01-03,480.861,1006.329
2024-01-25 15:07:13.518518,hn_01-03,480.82,1006.405
2024-01-25 15:07:20.549549,hn_01-03,480.628,1006.413
2024-01-25 15:07:27.677677,hn_01-03,480.67,1006.151
2024-01-25 15:07:34.753753,hn_01-03,480.813,1005.836
2024-01-25 15:07:41.846846,hn_01-03,480.58,1004.188
2024-01-25 15:07:48.988988,hn_01-03,480.686,1005.298
2024-01-25 15:07:55.797797,hn_01-03,480.833,1005.833
2024-01-25 15:08:02.878878,hn_01-03,480.787,1006.409
2024-01-25 15:08:09.857857,hn_01-03,480.735,1006.556
2024-01-25 15:08:17.126126,hn_01-03,480.745,1006.576
2024-01-25 15:08:23.938938,hn_01-03,480.729,1006.596
2024-01-25 15:08:30.776776,hn_01-03,480.695,1006.447
2024-01-25 15:08:37.917917,hn_01-03,480.712,1006.462
2024-01-25 15:08:44.885885,hn_01-03,480.698,1006.543
2024-01-25 15:08:51.942942,hn_01-03,480.642,1006.571
2024-01-25 15:08:59.002002,hn_01-03,480.697,1006.602
2024-01-25 15:09:05.849849,hn_01-03,480.693,1006.648
2024-01-25 15:09:12.808808,hn_01-03,480.708,1006.606
2024-01-25 15:09:19.621621,hn_01-03,480.629,1006.591
2024-01-25 15:09:26.471471,hn_01-03,480.859,1006.515
2024-01-25 15:09:33.512512,hn_01-03,480.726,1006.647
2024-01-25 15:09:40.334334,hn_01-03,480.763,1006.667
2024-01-25 15:09:47.443443,hn_01-03,480.652,1006.881
2024-01-25 15:09:54.331331,hn_01-03,480.639,1006.85
2024-01-25 15:10:01.166166,hn_01-03,480.57,1006.839
2024-01-25 15:10:08.267267,hn_01-03,480.737,1006.58
2024-01-25 15:10:15.298298,hn_01-03,480.649,1006.822
2024-01-25 15:10:22.546546,hn_01-03,480.545,1006.839
2024-01-25 15:10:29.767600,hn_01-03,480.514,1006.791
2024-01-25 15:10:36.629629,hn_01-03,480.697,1007.045
2024-01-25 15:10:43.828200,hn_01-03,480.593,1006.568
2024-01-25 15:10:50.973973,hn_01-03,480.508,1006.969
2024-01-25 15:10:58.135135,hn_01-03,480.749,1006.637
2024-01-25 15:11:05.191900,hn_01-03,480.264,1007.047
2024-01-25 15:11:12.386386,hn_01-03,480.546,1006.928
2024-01-25 15:11:19.354354,hn_01-03,480.547,1006.812
2024-01-25 15:11:26.189189,hn_01-03,480.524,1006.957
2024-01-25 15:11:33.032032,hn_01-03,480.759,1006.799
2024-01-25 15:11:39.875875,hn_01-03,480.512,1006.935
2024-01-25 15:11:47.011011,hn_01-03,480.558,1006.848
2024-01-25 15:11:53.848848,hn_01-03,480.518,1007.039
2024-01-25 15:12:00.955955,hn_01-03,480.633,1006.829
2024-01-25 15:12:08.008008,hn_01-03,480.556,1006.943
2024-01-25 15:12:14.841841,hn_01-03,480.643,1007.001
2024-01-25 15:12:21.973973,hn_01-03,480.527,1007.094
2024-01-25 15:12:28.948948,hn_01-03,480.567,1006.968
2024-01-25 15:12:35.731731,hn_01-03,480.542,1007.0
2024-01-25 15:12:42.508508,hn_01-03,480.604,1007.04
2024-01-25 15:12:49.537537,hn_01-03,480.712,1007.128
2024-01-25 15:12:56.387387,hn_01-03,480.654,1007.112
2024-01-25 15:13:03.346346,hn_01-03,480.587,1006.962
2024-01-25 15:13:10.408408,hn_01-03,480.607,1007.04
2024-01-25 15:13:17.191191,hn_01-03,480.64,1006.843
2024-01-25 15:13:24.327327,hn_01-03,480.602,1008.847
2024-01-25 15:13:31.337337,hn_01-03,480.56,1007.273
2024-01-25 15:13:38.464600,hn_01-03,480.304,1006.946
2024-01-25 15:13:45.266266,hn_01-03,480.611,1007.221
2024-01-25 15:13:52.050500,hn_01-03,480.623,1010.966
2024-01-25 15:13:58.864864,hn_01-03,480.456,1006.897
2024-01-25 15:14:05.985985,hn_01-03,480.572,1006.944
2024-01-25 15:14:12.956956,hn_01-03,480.599,1007.097
2024-01-25 15:14:19.923923,hn_01-03,480.409,1005.832
2024-01-25 15:14:26.701701,hn_01-03,480.631,1006.643
2024-01-25 15:14:34.215215,hn_01-03,480.53,1007.349
2024-01-25 15:14:41.278278,hn_01-03,480.639,1007.075
2024-01-25 15:14:48.091091,hn_01-03,480.705,1006.368
2024-01-25 15:14:55.164164,hn_01-03,480.526,1006.995
2024-01-25 15:15:02.333333,hn_01-03,480.497,1007.179
2024-01-25 15:15:09.478478,hn_01-03,480.804,1007.187
2024-01-25 15:15:16.598598,hn_01-03,480.537,1007.01
2024-01-25 15:15:23.756756,hn_01-03,480.755,1007.164
2024-01-25 15:15:30.597597,hn_01-03,480.403,1007.223
2024-01-25 15:15:37.684684,hn_01-03,480.296,1007.257
2024-01-25 15:15:44.752752,hn_01-03,480.765,1007.219
2024-01-25 15:15:51.598598,hn_01-03,480.609,1007.12
2024-01-25 15:15:58.595900,hn_01-03,480.639,1006.992
2024-01-25 15:16:05.427427,hn_01-03,480.615,1007.247
