video_record_time,test_point_code,x,y
2024-04-08 15:51:08.548548,hn_03-05,686.354,1671.423
2024-04-08 15:51:15.678678,hn_03-05,685.609,1671.155
2024-04-08 15:51:22.776776,hn_03-05,685.367,1671.827
2024-04-08 15:51:29.853853,hn_03-05,684.937,1671.483
2024-04-08 15:51:36.903903,hn_03-05,686.567,1671.337
2024-04-08 15:51:44.017017,hn_03-05,686.685,1671.506
2024-04-08 15:51:51.093093,hn_03-05,685.902,1671.879
2024-04-08 15:51:58.166166,hn_03-05,686.435,1671.821
2024-04-08 15:52:05.247247,hn_03-05,686.666,1671.748
2024-04-08 15:52:12.293293,hn_03-05,687.07,1671.619
2024-04-08 15:52:19.352352,hn_03-05,685.327,1671.078
2024-04-08 15:52:26.427427,hn_03-05,685.886,1671.63
2024-04-08 15:52:33.519519,hn_03-05,685.671,1671.973
2024-04-08 15:52:40.658658,hn_03-05,686.806,1672.359
2024-04-08 15:52:47.793793,hn_03-05,685.853,1671.59
2024-04-08 15:52:54.934934,hn_03-05,686.502,1671.656
2024-04-08 15:53:02.072072,hn_03-05,686.065,1671.058
2024-04-08 15:53:09.151500,hn_03-05,686.635,1671.781
2024-04-08 15:53:16.263263,hn_03-05,685.475,1671.956
2024-04-08 15:53:23.355355,hn_03-05,686.832,1671.835
2024-04-08 15:53:30.423423,hn_03-05,687.012,1671.455
2024-04-08 15:53:37.499499,hn_03-05,686.132,1672.044
2024-04-08 15:53:44.606606,hn_03-05,686.308,1671.355
2024-04-08 15:53:51.735735,hn_03-05,687.321,1671.814
2024-04-08 15:53:58.837837,hn_03-05,685.925,1672.216
2024-04-08 15:54:05.958958,hn_03-05,686.183,1672.037
2024-04-08 15:54:13.083083,hn_03-05,687.116,1672.338
2024-04-08 15:54:20.198198,hn_03-05,686.375,1672.147
2024-04-08 15:54:27.316316,hn_03-05,686.854,1671.863
2024-04-08 15:54:34.417417,hn_03-05,686.984,1671.608
2024-04-08 15:54:41.521521,hn_03-05,686.064,1672.298
2024-04-08 15:54:48.609609,hn_03-05,686.324,1672.127
2024-04-08 15:54:55.713713,hn_03-05,686.121,1671.816
2024-04-08 15:55:02.784784,hn_03-05,685.662,1671.831
2024-04-08 15:55:09.904904,hn_03-05,686.606,1672.456
2024-04-08 15:55:17.008008,hn_03-05,686.863,1672.294
2024-04-08 15:55:24.092092,hn_03-05,686.725,1672.175
2024-04-08 15:55:31.448448,hn_03-05,684.894,1672.069
2024-04-08 15:56:04.032032,hn_03-05,686.418,1671.966
2024-04-08 15:56:11.213213,hn_03-05,687.066,1672.28
2024-04-08 15:56:18.321321,hn_03-05,686.992,1672.252
2024-04-08 15:56:25.379379,hn_03-05,685.838,1671.672
2024-04-08 15:56:32.455455,hn_03-05,686.359,1672.257
2024-04-08 15:56:39.487487,hn_03-05,686.276,1671.665
2024-04-08 15:56:46.528528,hn_03-05,685.612,1671.898
2024-04-08 15:56:53.552552,hn_03-05,686.424,1671.934
2024-04-08 15:57:00.584584,hn_03-05,685.443,1672.915
2024-04-08 15:57:07.625625,hn_03-05,686.973,1672.188
2024-04-08 15:57:14.724724,hn_03-05,686.146,1672.653
2024-04-08 15:57:21.839839,hn_03-05,686.783,1672.103
2024-04-08 15:57:28.928928,hn_03-05,686.373,1672.493
2024-04-08 15:57:35.952952,hn_03-05,686.72,1672.062
2024-04-08 15:57:43.007007,hn_03-05,685.266,1672.302
2024-04-08 15:57:50.083083,hn_03-05,686.024,1671.85
2024-04-08 15:57:57.182182,hn_03-05,686.298,1672.061
2024-04-08 15:58:04.282800,hn_03-05,685.133,1672.435
2024-04-08 15:58:11.363363,hn_03-05,685.86,1672.427
2024-04-08 15:58:18.442442,hn_03-05,686.789,1671.752
2024-04-08 15:58:25.515515,hn_03-05,686.712,1671.911
2024-04-08 15:58:32.595900,hn_03-05,686.255,1672.053
2024-04-08 15:58:39.672672,hn_03-05,685.988,1672.126
2024-04-08 15:58:46.699699,hn_03-05,685.962,1672.331
2024-04-08 15:58:53.737737,hn_03-05,685.937,1672.158
2024-04-08 15:59:00.768768,hn_03-05,686.066,1672.078
2024-04-08 15:59:07.818100,hn_03-05,686.74,1671.696
2024-04-08 15:59:14.843843,hn_03-05,686.945,1672.191
2024-04-08 15:59:21.868868,hn_03-05,686.663,1672.063
2024-04-08 15:59:28.939300,hn_03-05,685.623,1672.071
2024-04-08 15:59:35.956956,hn_03-05,685.95,1672.244
2024-04-08 15:59:43.044044,hn_03-05,685.683,1672.392
2024-04-08 15:59:50.079079,hn_03-05,685.384,1672.107
2024-04-08 15:59:57.114114,hn_03-05,686.726,1672.278
2024-04-08 16:00:04.156156,hn_03-05,685.974,1672.327
2024-04-08 16:00:11.249249,hn_03-05,685.666,1672.249
2024-04-08 16:00:18.292900,hn_03-05,685.621,1672.766
2024-04-08 16:00:25.379379,hn_03-05,686.735,1672.25
2024-04-08 16:00:32.439439,hn_03-05,686.399,1671.744
2024-04-08 16:00:39.481481,hn_03-05,685.122,1672.514
2024-04-08 16:00:46.563563,hn_03-05,685.758,1672.62
2024-04-08 16:00:53.579579,hn_03-05,686.48,1671.854
2024-04-08 16:01:00.619619,hn_03-05,684.507,1671.901
2024-04-08 16:01:07.668668,hn_03-05,685.812,1672.311
2024-04-08 16:01:14.709709,hn_03-05,685.966,1672.325
2024-04-08 16:01:21.737737,hn_03-05,685.268,1672.76
2024-04-08 16:01:28.787787,hn_03-05,685.971,1672.717
2024-04-08 16:01:35.838838,hn_03-05,685.499,1672.528
2024-04-08 16:01:42.958958,hn_03-05,686.15,1672.681
2024-04-08 16:01:49.991991,hn_03-05,685.967,1672.587
2024-04-08 16:01:57.043043,hn_03-05,686.023,1672.303
2024-04-08 16:02:04.082082,hn_03-05,686.872,1672.473
2024-04-08 16:02:11.147147,hn_03-05,685.087,1672.448
2024-04-08 16:02:18.183183,hn_03-05,685.94,1672.494
2024-04-08 16:02:25.265265,hn_03-05,685.975,1672.43
2024-04-08 16:02:32.363600,hn_03-05,685.704,1672.045
2024-04-08 16:02:39.451451,hn_03-05,685.763,1671.699
2024-04-08 16:02:46.549549,hn_03-05,686.08,1672.546
2024-04-08 16:02:53.635635,hn_03-05,686.402,1671.814
2024-04-08 16:03:00.746746,hn_03-05,685.22,1672.088
2024-04-08 16:03:07.797797,hn_03-05,685.94,1673.012
2024-04-08 16:03:14.901901,hn_03-05,685.595,1672.162
2024-04-08 16:03:21.928928,hn_03-05,685.349,1672.46
2024-04-08 16:03:28.962962,hn_03-05,685.328,1672.176
2024-04-08 16:03:36.027027,hn_03-05,686.378,1671.697
2024-04-08 16:03:43.047047,hn_03-05,686.511,1671.784
2024-04-08 16:03:50.071071,hn_03-05,686.295,1672.159
2024-04-08 16:03:57.118118,hn_03-05,685.488,1671.977
2024-04-08 16:04:04.162162,hn_03-05,686.387,1672.016
2024-04-08 16:04:11.209209,hn_03-05,686.109,1672.079
2024-04-08 16:04:18.236236,hn_03-05,686.944,1671.802
2024-04-08 16:04:25.269269,hn_03-05,686.067,1672.257
2024-04-08 16:04:32.313100,hn_03-05,686.857,1672.311
2024-04-08 16:04:39.333300,hn_03-05,686.247,1671.301
2024-04-08 16:04:46.464600,hn_03-05,686.051,1671.177
2024-04-08 16:04:53.516516,hn_03-05,687.072,1672.378
2024-04-08 16:05:00.547547,hn_03-05,686.397,1671.786
2024-04-08 16:05:07.585585,hn_03-05,685.973,1672.116
2024-04-08 16:05:14.666600,hn_03-05,686.567,1671.439
2024-04-08 16:05:21.729729,hn_03-05,685.972,1671.84
2024-04-08 16:05:28.799799,hn_03-05,685.97,1672.09
2024-04-08 16:05:35.862862,hn_03-05,686.831,1671.221
2024-04-08 16:05:42.936936,hn_03-05,684.14,1671.777
2024-04-08 16:05:49.968968,hn_03-05,687.006,1671.434
2024-04-08 16:05:57.002002,hn_03-05,686.391,1671.15
2024-04-08 16:06:04.042042,hn_03-05,685.546,1671.174
2024-04-08 16:06:11.069069,hn_03-05,685.885,1671.866
2024-04-08 16:06:18.106106,hn_03-05,686.144,1671.557
2024-04-08 16:06:25.161161,hn_03-05,686.83,1671.488
2024-04-08 16:06:32.196196,hn_03-05,686.217,1671.165
2024-04-08 16:06:39.219219,hn_03-05,686.791,1671.172
2024-04-08 16:06:46.295295,hn_03-05,686.324,1671.56
2024-04-08 16:06:53.323323,hn_03-05,686.335,1670.869
2024-04-08 16:07:00.341341,hn_03-05,685.839,1671.052
2024-04-08 16:07:07.377377,hn_03-05,685.113,1671.051
2024-04-08 16:07:14.418418,hn_03-05,686.298,1671.113
2024-04-08 16:07:21.474700,hn_03-05,686.284,1670.059
2024-04-08 16:07:28.521521,hn_03-05,686.268,1670.444
2024-04-08 16:07:35.551551,hn_03-05,686.177,1670.136
2024-04-08 16:07:42.574574,hn_03-05,686.228,1670.76
2024-04-08 16:07:49.609609,hn_03-05,686.216,1670.942
2024-04-08 16:07:56.635635,hn_03-05,686.808,1671.228
2024-04-08 16:08:03.657657,hn_03-05,686.869,1670.658
2024-04-08 16:08:10.682682,hn_03-05,686.848,1670.478
2024-04-08 16:08:17.741741,hn_03-05,685.877,1670.383
2024-04-08 16:08:24.805805,hn_03-05,686.968,1671.097
2024-04-08 16:08:31.871871,hn_03-05,686.12,1671.243
2024-04-08 16:08:38.933933,hn_03-05,686.291,1671.647
2024-04-08 16:08:46.062062,hn_03-05,686.761,1670.913
2024-04-08 16:08:53.123123,hn_03-05,686.826,1670.464
2024-04-08 16:09:00.178178,hn_03-05,686.188,1670.756
2024-04-08 16:09:07.251251,hn_03-05,686.751,1670.246
2024-04-08 16:09:14.323323,hn_03-05,684.807,1670.996
2024-04-08 16:09:21.362362,hn_03-05,686.639,1670.484
2024-04-08 16:09:28.463463,hn_03-05,686.436,1670.451
2024-04-08 16:09:35.533533,hn_03-05,685.87,1670.287
2024-04-08 16:09:42.652652,hn_03-05,686.675,1670.765
2024-04-08 16:09:49.762762,hn_03-05,686.431,1670.081
2024-04-08 16:09:56.871871,hn_03-05,685.682,1671.057
2024-04-08 16:10:03.967967,hn_03-05,685.576,1670.522
2024-04-08 16:10:11.092092,hn_03-05,686.745,1670.709
2024-04-08 16:10:18.202202,hn_03-05,686.746,1670.182
2024-04-08 16:10:25.277277,hn_03-05,686.284,1670.943
2024-04-08 16:10:32.336336,hn_03-05,686.488,1670.191
2024-04-08 16:10:39.406406,hn_03-05,686.469,1670.435
2024-04-08 16:10:46.493493,hn_03-05,686.863,1669.866
2024-04-08 16:10:53.573573,hn_03-05,686.486,1670.189
2024-04-08 16:11:00.619619,hn_03-05,687.025,1670.072
2024-04-08 16:11:07.675675,hn_03-05,686.481,1670.294
2024-04-08 16:11:14.719719,hn_03-05,687.074,1669.982
2024-04-08 16:11:21.787787,hn_03-05,686.655,1670.746
2024-04-08 16:11:28.844844,hn_03-05,686.843,1669.914
2024-04-08 16:11:35.906906,hn_03-05,686.363,1670.238
2024-04-08 16:11:42.979979,hn_03-05,687.192,1669.372
2024-04-08 16:11:50.030300,hn_03-05,686.623,1669.932
2024-04-08 16:11:57.079079,hn_03-05,686.033,1670.581
2024-04-08 16:12:04.136136,hn_03-05,686.66,1670.29
2024-04-08 16:12:11.188188,hn_03-05,687.217,1670.147
2024-04-08 16:12:18.285285,hn_03-05,686.706,1670.68
2024-04-08 16:12:25.337337,hn_03-05,686.05,1671.382
2024-04-08 16:12:32.457457,hn_03-05,686.529,1670.689
2024-04-08 16:12:39.519519,hn_03-05,686.405,1670.189
2024-04-08 16:12:46.646646,hn_03-05,687.118,1669.779
2024-04-08 16:12:53.719719,hn_03-05,687.169,1669.682
2024-04-08 16:13:00.828200,hn_03-05,686.771,1670.44
2024-04-08 16:13:07.899899,hn_03-05,686.805,1670.136
2024-04-08 16:13:14.954954,hn_03-05,686.604,1671.142
2024-04-08 16:13:22.038038,hn_03-05,686.544,1670.095
2024-04-08 16:13:29.121121,hn_03-05,686.04,1670.595
2024-04-08 16:13:36.189189,hn_03-05,686.463,1670.969
2024-04-08 16:13:43.284284,hn_03-05,686.343,1670.727
2024-04-08 16:13:50.352352,hn_03-05,686.551,1671.083
2024-04-08 16:13:57.438438,hn_03-05,686.929,1670.289
2024-04-08 16:14:04.538538,hn_03-05,687.305,1670.52
2024-04-08 16:14:11.598598,hn_03-05,687.235,1670.205
2024-04-08 16:14:18.702702,hn_03-05,686.624,1669.986
2024-04-08 16:14:25.772772,hn_03-05,687.108,1670.515
2024-04-08 16:14:32.897897,hn_03-05,686.162,1670.627
2024-04-08 16:14:39.957957,hn_03-05,687.335,1670.463
2024-04-08 16:14:47.038038,hn_03-05,687.258,1670.604
2024-04-08 16:14:54.110000,hn_03-05,687.185,1670.079
2024-04-08 16:15:01.178178,hn_03-05,687.066,1670.37
2024-04-08 16:15:08.264264,hn_03-05,687.072,1670.84
2024-04-08 16:15:15.315315,hn_03-05,687.503,1670.706
2024-04-08 16:15:22.397397,hn_03-05,686.309,1671.536
2024-04-08 16:15:29.455455,hn_03-05,686.657,1670.699
2024-04-08 16:15:36.504504,hn_03-05,686.588,1670.927
2024-04-08 16:15:43.566566,hn_03-05,686.939,1670.885
2024-04-08 16:15:50.632632,hn_03-05,686.851,1671.116
2024-04-08 16:15:57.709709,hn_03-05,687.339,1670.559
2024-04-08 16:16:04.758758,hn_03-05,686.524,1670.73
2024-04-08 16:16:11.816816,hn_03-05,686.911,1671.358
2024-04-08 16:16:18.914914,hn_03-05,686.61,1670.974
2024-04-08 16:16:25.985985,hn_03-05,686.588,1670.704
2024-04-08 16:16:33.116116,hn_03-05,687.022,1671.152
2024-04-08 16:16:40.152152,hn_03-05,686.999,1670.561
2024-04-08 16:16:47.216216,hn_03-05,687.009,1670.841
2024-04-08 16:16:54.288288,hn_03-05,686.948,1670.416
2024-04-08 16:17:01.373373,hn_03-05,686.592,1671.377
2024-04-08 16:17:08.451451,hn_03-05,687.748,1670.698
2024-04-08 16:17:15.536536,hn_03-05,687.338,1670.375
2024-04-08 16:17:22.649649,hn_03-05,686.67,1670.361
2024-04-08 16:17:29.766766,hn_03-05,686.234,1670.872
2024-04-08 16:17:36.868868,hn_03-05,686.414,1670.53
2024-04-08 16:17:43.996996,hn_03-05,686.301,1671.289
2024-04-08 16:17:51.054054,hn_03-05,687.534,1670.251
2024-04-08 16:17:58.109109,hn_03-05,687.402,1670.674
2024-04-08 16:18:05.169169,hn_03-05,687.75,1670.476
2024-04-08 16:18:12.258258,hn_03-05,686.991,1670.604
2024-04-08 16:18:19.401401,hn_03-05,686.746,1670.923
2024-04-08 16:18:26.455455,hn_03-05,686.484,1671.187
2024-04-08 16:18:33.583583,hn_03-05,687.032,1671.047
2024-04-08 16:18:40.644644,hn_03-05,687.561,1670.992
2024-04-08 16:18:47.714714,hn_03-05,687.198,1671.13
2024-04-08 16:18:54.834834,hn_03-05,686.993,1670.944
2024-04-08 16:19:01.898898,hn_03-05,686.833,1671.656
2024-04-08 16:19:08.965965,hn_03-05,687.217,1670.675
2024-04-08 16:19:16.039039,hn_03-05,686.483,1671.448
2024-04-08 16:19:23.117117,hn_03-05,686.636,1671.495
2024-04-08 16:19:30.199199,hn_03-05,687.486,1671.399
2024-04-08 16:19:37.284284,hn_03-05,686.723,1671.117
2024-04-08 16:19:44.336336,hn_03-05,687.35,1670.971
2024-04-08 16:19:51.399399,hn_03-05,686.545,1671.258
