video_record_time,test_point_code,x,y
2024-01-25 16:04:29.409409,hn_03-05,689.924,1657.079
2024-01-25 16:04:43.845845,hn_03-05,689.962,1657.139
2024-01-25 16:04:51.494494,hn_03-05,689.929,1657.002
2024-01-25 16:04:59.155155,hn_03-05,689.931,1657.112
2024-01-25 16:05:06.770000,hn_03-05,689.935,1657.318
2024-01-25 16:05:14.287287,hn_03-05,689.931,1657.29
2024-01-25 16:05:21.908908,hn_03-05,690.005,1657.313
2024-01-25 16:05:29.550000,hn_03-05,689.975,1657.127
2024-01-25 16:05:37.077077,hn_03-05,690.003,1657.132
2024-01-25 16:05:44.706706,hn_03-05,690.008,1657.274
2024-01-25 16:05:52.333300,hn_03-05,689.935,1657.295
2024-01-25 16:05:59.954954,hn_03-05,689.91,1657.039
2024-01-25 16:06:07.565565,hn_03-05,689.941,1657.084
2024-01-25 16:06:15.152152,hn_03-05,689.995,1657.072
2024-01-25 16:06:22.739739,hn_03-05,689.927,1657.099
2024-01-25 16:06:30.343343,hn_03-05,690.002,1657.012
2024-01-25 16:06:37.957957,hn_03-05,689.914,1657.189
2024-01-25 16:06:45.583583,hn_03-05,690.061,1656.85
2024-01-25 16:06:53.158158,hn_03-05,690.09,1656.983
2024-01-25 16:07:00.788788,hn_03-05,689.983,1656.983
2024-01-25 16:07:08.498498,hn_03-05,689.964,1656.849
2024-01-25 16:07:16.143143,hn_03-05,690.62,1656.967
2024-01-25 16:07:23.741741,hn_03-05,689.99,1656.93
2024-01-25 16:07:31.361361,hn_03-05,689.965,1656.893
2024-01-25 16:07:39.012012,hn_03-05,689.972,1656.983
2024-01-25 16:07:46.654654,hn_03-05,689.99,1656.734
2024-01-25 16:07:54.271271,hn_03-05,689.956,1656.76
2024-01-25 16:08:01.855855,hn_03-05,689.972,1656.762
2024-01-25 16:08:09.463463,hn_03-05,690.059,1656.606
2024-01-25 16:08:17.078078,hn_03-05,689.966,1656.696
2024-01-25 16:08:24.696696,hn_03-05,689.889,1656.575
2024-01-25 16:08:32.334334,hn_03-05,690.033,1656.481
2024-01-25 16:08:40.004004,hn_03-05,690.0,1656.502
2024-01-25 16:08:47.602602,hn_03-05,690.059,1656.469
2024-01-25 16:08:55.262262,hn_03-05,690.089,1656.395
2024-01-25 16:09:02.848848,hn_03-05,690.017,1656.206
2024-01-25 16:09:10.599599,hn_03-05,690.056,1656.254
2024-01-25 16:09:18.222222,hn_03-05,690.02,1656.176
2024-01-25 16:09:25.808808,hn_03-05,689.946,1656.086
2024-01-25 16:09:33.489489,hn_03-05,689.317,1656.025
2024-01-25 16:09:41.104104,hn_03-05,689.945,1656.235
2024-01-25 16:09:48.771771,hn_03-05,690.026,1656.117
2024-01-25 16:09:56.366366,hn_03-05,690.003,1656.016
2024-01-25 16:10:03.999999,hn_03-05,690.236,1656.161
2024-01-25 16:10:11.626200,hn_03-05,690.025,1656.054
2024-01-25 16:10:19.266266,hn_03-05,689.778,1656.132
2024-01-25 16:10:26.914914,hn_03-05,689.936,1655.977
2024-01-25 16:10:34.757500,hn_03-05,689.978,1655.988
2024-01-25 16:10:42.461461,hn_03-05,689.925,1656.02
2024-01-25 16:10:50.159159,hn_03-05,689.972,1655.935
2024-01-25 16:10:57.877877,hn_03-05,689.925,1655.909
2024-01-25 16:11:05.495495,hn_03-05,689.974,1656.012
2024-01-25 16:11:13.223223,hn_03-05,690.034,1655.777
2024-01-25 16:11:21.564564,hn_03-05,690.137,1655.906
2024-01-25 16:11:29.245245,hn_03-05,689.93,1655.892
2024-01-25 16:11:36.936936,hn_03-05,690.057,1655.694
2024-01-25 16:11:44.549549,hn_03-05,690.323,1655.644
2024-01-25 16:11:52.175175,hn_03-05,690.1,1655.608
2024-01-25 16:11:59.884884,hn_03-05,690.084,1655.654
2024-01-25 16:12:07.506506,hn_03-05,690.041,1655.769
2024-01-25 16:12:15.134134,hn_03-05,690.119,1655.572
2024-01-25 16:12:22.767767,hn_03-05,690.025,1655.706
2024-01-25 16:12:30.456456,hn_03-05,689.882,1655.845
2024-01-25 16:12:38.103103,hn_03-05,690.011,1655.598
2024-01-25 16:12:45.734734,hn_03-05,690.056,1655.604
2024-01-25 16:12:53.431431,hn_03-05,690.24,1655.567
2024-01-25 16:13:01.107107,hn_03-05,690.018,1655.615
2024-01-25 16:13:08.765765,hn_03-05,690.043,1655.502
2024-01-25 16:13:16.451451,hn_03-05,689.995,1655.578
2024-01-25 16:13:24.060600,hn_03-05,690.127,1655.459
2024-01-25 16:13:31.661661,hn_03-05,690.094,1655.456
2024-01-25 16:13:39.312312,hn_03-05,690.06,1655.505
2024-01-25 16:13:46.979979,hn_03-05,689.936,1655.564
2024-01-25 16:13:54.665665,hn_03-05,690.002,1655.432
2024-01-25 16:14:02.319319,hn_03-05,689.971,1655.34
2024-01-25 16:14:09.983983,hn_03-05,690.016,1655.432
2024-01-25 16:14:17.575575,hn_03-05,690.081,1655.386
2024-01-25 16:14:25.199199,hn_03-05,690.044,1655.392
2024-01-25 16:14:32.827827,hn_03-05,689.869,1655.414
2024-01-25 16:14:40.567567,hn_03-05,689.857,1655.441
2024-01-25 16:14:48.284284,hn_03-05,689.873,1655.398
2024-01-25 16:14:55.927927,hn_03-05,690.036,1655.38
2024-01-25 16:15:03.727200,hn_03-05,690.111,1655.232
2024-01-25 16:15:11.406406,hn_03-05,689.965,1655.288
2024-01-25 16:15:19.056056,hn_03-05,689.915,1655.396
2024-01-25 16:15:26.738738,hn_03-05,689.754,1655.517
2024-01-25 16:15:34.363363,hn_03-05,690.034,1655.347
2024-01-25 16:15:42.065065,hn_03-05,689.923,1655.335
